id,name,description,method,fragmentation_method,fragmentation_depth,fragment_filter,adducts,library,use_unshifted,use_intensity,use_ppm,mz_tol,is_subtract
031b5a1c135f4695aafbd1bc18871da345395914,,,ours,MAGMa,2.0,sirius,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
f95a7a572162ca7b2a5b064e0d48f7c39d3ee4a6,,,ours,MAGMa,2.0,msbuddy,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
243b2f7fd728a27d4b3ad77bcc5200ea9671e13f,,,ours,MAGMa,2.0,oracle,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
72f498e12258439cde3e9eac7d175f38d56addf2,,,ours,MAGMa,2.0,helpers,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
7f71104dcf59d5cc43155c50ab5a137d9864fe8e,,,ours,MAGMa,2.0,oracle_nohelper,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
1385339073a029a9d1fbdddd429de75560d7519f,,,cfmid,,,,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,,,,,False
7707be2809437b4fb532fec608d7375b26deb63e,,,multiple_random_choice,,,,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,,,,,False
66bdb558fcfbe1b03bfa1ee0f9f3c233f8e4a4f5,,,multiple_random_distribution,,,,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,,,,,False
41ae4095c516d32e27ef4a8295b3ba8f0c03d779,,,ours,MAGMa,2.0,none,M+H,BERKELEY-LAB,True,False,True,40.0,False
81a76ae346ff99ca28601589aeaa836f63eaf623,,,ours,MAGMa,2.0,sirius,M+H,BERKELEY-LAB,True,False,True,40.0,False
928af28c128b3ad823a2c60a8a9a996f95416c79,,,ours,MAGMa,2.0,msbuddy,M+H,BERKELEY-LAB,True,False,True,40.0,False
1ebc34548654f9b3685e32d7ed54a8f3a37cf8b7,,,ours,MAGMa,2.0,oracle,M+H,BERKELEY-LAB,True,False,True,40.0,False
3ce3531747557e4ecc24a24355ff2ae4f842ba07,,,ours,MAGMa,2.0,helpers,M+H,BERKELEY-LAB,True,False,True,40.0,False
70aff0a0fc3cda895bf7dbed82aceb7e52528c04,,,ours,MAGMa,2.0,oracle_nohelper,M+H,BERKELEY-LAB,True,False,True,40.0,False
f5b7c1ec6de09ea1d4a5241a0a1eeded309982a0,,,cfmid,,,,M+H,BERKELEY-LAB,,,,,False
003cbf730b4f3c9ba6858342e523a584952041fe,,,multiple_random_choice,,,,M+H,BERKELEY-LAB,,,,,False
7a6e35f3bd077f911900357b5704634f1c32fac1,,,multiple_random_distribution,,,,M+H,BERKELEY-LAB,,,,,False
